Neighbourhood Name,Neighbourhood Number,Descriptive Name,Description,Civic Ward,Planning District
DONSDALE,4120,Donsdale,"Donsdale is named in honour of Frank Doncaster who owned a large tract of land in the area in the mid-1940s. After annexation to the City of Edmonton, the use of the name continued.The neighbourhood experienced the bulk of its development in the late 1990s and early 2000s, but pre-existing country residential (estate) lots run the length of the river valley's edge.  Donsdale provides an attractive residential environment with existing natural features of the area, including the preservation of significant viewpoints like Wedgewood Ravine and access to the local ravine system.",sipiwiyiniwak,West Edmonton
DOVERCOURT,3170,Dovercourt,"Dovercourt and surrounding area was annexed to Edmonton in 1913 but remained practically undeveloped until after the Second World War. In the 1950s, Dovercourt was replotted under the direction of the city's first town planner, Noel Dant.  Dovercourt and adjacent neighbourhoods were some of the first subdivisions in North America to be designed using the ""neighbourhood"" concept of curved streets, limited access points, and landscaping. The streets and walkways focus on school and community league sites at the centre of the neighbourhood.",Anirniq,Central
DOWNTOWN,1090,Downtown,"Edmonton's downtown is the hub of commercial, arts and festival activities. Perched on the spectacular river valley, downtown Edmonton features Sir Winston Churchill Square, a grassy space characterized by large trees and fountains, where festivals and arts events are hosted all year round. Over 500 businesses are interconnected by a multi-level pedway system that makes downtown a pleasant and dynamic place to spend the day, even in the harshest weather.",O-day'min,Central
DUGGAN,5160,Duggan,"Named for J..J. Duggan (a pioneer citizen and former mayor of Edmonton's early rival, the City of Strathcona), Duggan reflects the popular design elements of the 1960s. Apartments and shops are located along major roadways and near the central school and park sites. Single detached houses are grouped around the centre and arranged along curvilinear streets.",papastew,Whitemud
DUNLUCE,3180,Dunluce,Dunluce is named after a historical castle on the north coast of Ireland. Over 90% of Dunluce residents are younger than 50 and more than one-fifth of the neighbourhood population is under ten. Dunluce offers two elementary schools and a community league at the heart of the neighbourhood. The Castle Downs Recreation Centre is a huge complex located in the southeast corner of the neighbourhood.,Anirniq,Northwest
EASTGATE BUSINESS PARK,6180,Eastgate Business Park,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Métis,Southeast
EASTWOOD,1100,Eastwood,"Parts of Eastwood were subdivided as early as 1906. With a streetcar line running from 95 Street along 118 Avenue as early as 1910 (to link Edmonton to the village of North Edmonton), development of properties close to the line must have been attractive. Around the time of World War I a number of homes and businesses were built along the streetcar line and the major roads. Nearly 65 percent of Eastwood's dwelling units are now renter occupied and nearly 70 percent of those units are contained within low-rise apartments. Residents of Eastwood demonstrate considerable mobility.",Métis,118 Avenue
EAUX CLAIRES,2241,Eaux Claires,"Eaux Claries takes its name from a body of water, and the neighbourhood name means ""clear waters"" in French.  Residential construction began in the late 1990s and was still underway as of 2010.  The road system enables easy access to the neighbourhood.  Pedestrian pathways and linkages are included throughout the neighbourhood.  The neighbourhood also includes a central park/school site in addition to other small parks and storm water management ponds.  A playground and park development is in the process of happening in 2010.",tastawiyiniwak,Northwest
EBBERS,2251,Ebbers,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Dene,Northeast
EDGEMONT,4462,Edgemont,,sipiwiyiniwak,West Henday
EDMISTON INDUSTRIAL,4130,Edmiston Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
EDMONTON ENERGY AND TECHNOLOGY PARK,2681,Edmonton Energy And Technology Park,This neighbourhood is rural in nature and primarily used for agricultural activities.,Dene,Horse Hills
EDMONTON NORTHLANDS,1120,Edmonton Northlands,"This non-residential neighbourhood is home to a number of commercial, multi-use facilities.",Métis,118 Avenue
EDMONTON RESEARCH AND DEVELOPMENT PARK,6190,Edmonton Research and Development Park,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Karhiio,Mill Woods and Meadows
EDMONTON SOUTH CENTRAL,8887,Edmonton South Central,,Ipiihkoohkanipiaohtsi,Rabbit Hill
EDMONTON SOUTH CENTRAL EAST,8885,Edmonton South Central East,,Karhiio,Ellerslie
EDMONTON SOUTH EAST,8886,Edmonton South East,,Sspomitapi,Ellerslie
EDMONTON SOUTH WEST,8888,Edmonton South West,,pihêsiwin,Rabbit Hill
EKOTA,6200,Ekota,"In the Cree language, Ekota means 'special place.' Ekota was, like all Mill Woods residential neighbourhoods, planned in efficient, curved streets and cul de sacs. Ekota contains no commercial properties and few businesses, but a variety of goods and services are available at the nearby Town Centre Mall. Typical of new suburban neighbourhoods, Ekota has a high proportion of young families.",Karhiio,Mill Woods and Meadows
ELLERSLIE,6211,Ellerslie,"""Ellerslie"" is the name that has existed since the turn of the 20th century. Some believe the name comes from Ellerslie House, the birthplace of William Wallace.  Others believe the named was given by the brothers John and James McLaggan, owners of the first store and post office.  The Ellerslie School District was established in 1895 and the post office began operating in 1896. The Ellerslie neighbourhood was planned and built-out in the early 2000s. The neighbourhood features several natural tree stands, many small parks, and pathways.",Karhiio,Ellerslie
ELLERSLIE INDUSTRIAL,6214,Ellerslie Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Karhiio,Ellerslie
ELMWOOD,4140,Elmwood,"Elmwood was originally part of the old Town of Jasper Place. The neighbourhood was almost entirely developed during the 1960s and most of the structures in Elmwood are single detached houses. With a freeway and two major arterials forming three of Elmwood's four borders, residents enjoy good access to destinations in the city's west end. The Misericordia Hospital and West Edmonton Mall are immediately to Elmwood's north and northwest.",sipiwiyiniwak,Jasper Place
ELMWOOD PARK,1130,Elmwood Park,"Elmwood Park is a compact neighbourhood of single detached homes built in the 1940s and 1950s, and multi-family structures. The neighbourhood contains a relatively high proportion of single adult households. Residents of Elmwood Park tend to move relatively often.",Métis,118 Avenue
ELSINORE,3190,Elsinore,"One of the most northeasterly neighbourhoods in the Castle Downs Extension area, this development was used for agricultrual clutivation before urban development began in the 1980's.  Pathway systems and stormwater ponds provide intersting features in this neighbourhood.  Elsinore is named after a famous castle in Denmark.",tastawiyiniwak,Northwest
EMPIRE PARK,5170,Empire Park,"Empire Park is a diverse neighbourhood, with residential, commercial, institutional and industrial land uses. Development of the neighbourhood began during the 1960s and for the most part was complete by the 1970s. Most homes are contained within row housing and apartment complexes. Southgate Shopping Centre is the primary commercial development within the neighbourhood and the major shopping facility for residents of nearby areas.",papastew,Scona
ERMINESKIN,5180,Ermineskin,"Ermineskin is named for Chief Ermineskin of Hobbema. While single family houses are the major structure type, apartments are the largest source of dwelling units Ermineskin. Heritage Mall, a regional shopping centre, is located within the neighbourhood and serves the residents of Ermineskin. Residents of Ermineskin enjoy an abundance of recreation and open space.",Ipiihkoohkanipiaohtsi,Whitemud
EVANSDALE,2260,Evansdale,"Evansdale is named for H.M.E. Evans, Mayor of Edmonton in 1918. Mr. Evans was also president of the Edmonton Board of Trade in 1916. Although single detached homes account for 90% of the structures in Evansdale, almost 50% of the dwelling units are located in multi unit housing and low-rise apartments. Residents enjoy two elementary schools, a junior high school, two churches and a community league.",tastawiyiniwak,Northwest
EVERGREEN,2270,Evergreen,"Evergreen is a mobile home park is nested in a beautiful, naturally wooded ravine in north east Edmonton.  Today, the park is a thriving community with approximately 1500 people and 640 homes.  Established around 1970, most of the growth in the park occurred between 1970 and 1979.  Evergreen offers many leisure and recreational activities for everyone, such as walking, hiking and bike trails. There is access to a baseball diamond, skating rink, full size playground for youngsters, and a general picnic area.",Dene,Horse Hills
FALCONER HEIGHTS,5190,Falconer Heights,"Falconer Heights was named after James F. Falconer, who was involved in the formation of Edmonton's Names Advisory Committee in the mid 1950s and served on the committee until 1979.  Prior to urban development this area was used for agricultural cultivation. A natural area, which features a mature tree stand, was preserved as a park in the southeast corner.  The internal road network is based on a series of cul-de-sacs oriented along a collector road (Falconer Road), with arterial roads located along the neighbourhood's boundaries",pihêsiwin,Whitemud
FOREST HEIGHTS,6230,Forest Heights,"The winding green curves of the North Saskatchewan River Valley figure prominently in Forest
Heights. Four bridges provide access to North Edmonton, while area business is concentrated on
the roads which bound the vicinity. Built in the 1950s, Forest Heights has grown into a mature
and stable community.",Métis,Southeast
FRASER,2280,Fraser,"Named for John Fraser, an original homesteader in the area and one of the first trustees of the
Belmont School, Fraser is located in the City's far northwest. Part of Clareview, it was developed
during the 1980s. A young community, Fraser is highlighted by a multiple school and recreation
area as well as a small shopping centre.",Dene,Northeast
FULTON PLACE,6240,Fulton Place,"Named for the creek which runs through the ravine on its west boundary, Fulton Place lies east of
the downtown core and developed in the 1950s. Today, Fulton is a mature neighbourhood with a
stable population. Residents have easy access to the river valley, as well as scenic views from
vantage points along Fulton Drive.",Métis,Southeast
GAGNON ESTATE INDUSTRIAL,4150,Gagnon Estate Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Anirniq,Jasper Place
GAINER INDUSTRIAL,6250,Gainer Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Métis,Southeast
GARIEPY,4160,Gariepy,"This area was named for Joseph Hormisdas Gariepy, an early pioneer merchant. Gariepy's
keyhole crescents and winding roads were designed in the 1970s and 80s to create a quiet, safe
neighbourhood. Commercial services are available in nearby Lessard, and a short drive away at
West Edmonton Mall. The community features educational and recreational facilities at its core,
as well the private golf course of the adjacent Edmonton Country Club.",sipiwiyiniwak,West Edmonton
GARNEAU,5200,Garneau,"One of the oldest inner-city neighbourhoods, Garneau is named for an early settler and became
part of Edmonton in 1912. This attractive and energetic area features a high proportion of
multi-unit dwellings, which provide housing for students at the adjacent University of Alberta. 
Residents enjoy excellent access to most areas of Edmonton, as well as to the commercial and
cultural centres of Old Strathcona and Whyte Avenue.",papastew,Scona
GARSIDE INDUSTRIAL,4170,Garside Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Anirniq,Jasper Place
GIRARD INDUSTRIAL,6260,Girard Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Métis,Southeast
GLASTONBURY,4720,Glastonbury,Glastonbury is named after an English monastery that is associated with the legend of King Arthur and the location of the Holy Grail. Construction started in the late 1990s with most happening in the early 2000s. Glastonbury Community League was established as a non-profit organization serving the neighbourhood developments of The Grange and Parkland.An open space and connected pathways system is coordinated alongside stormwater management facilities to increase recreational space for residents.,sipiwiyiniwak,West Henday
GLENGARRY,2290,Glengarry,"Glengarry is a diverse mix of commercial, residential, institutional and recreational land uses.
Northwood Mall provides excellent retail and service facilities, and the area also features schools,
parkland and a swimming pool. Glengarry is a stable community with a high proportion of mature
residents, the majority of whom live in single-family homes.",tastawiyiniwak,Northwest
GLENORA,3200,Glenora,"Glenora is one of Edmonton's most beautiful and historical neighbourhoods. First staked out by
Malcolm Groat in the 1860s and developed to appeal to many of the City's most prominent
citizens of the time, it lies just west of downtown and a short drive from major commercial
centres to the east and west. Glenora is characterised by large, uniquely handsome homes on
streets lined with mature trees. The Provincial Museum and river valley highlight Glenora.",Nakota Isga,Central
GLENRIDDING HEIGHTS,5578,Glenridding Heights,,pihêsiwin,Southwest
GLENRIDDING RAVINE,5579,Glenridding Ravine,,pihêsiwin,Southwest
GLENWOOD,4180,Glenwood,"Glenwood is a large neighbourhood in the City's west end, and represents both residential and
commercial land uses. The area is dominated by single-family dwellings, as well as apartment
buildings near school sites. Residents enjoy a wide choice of commercial services along Stony
Plain Road, as well as at Mayfield Common and West Edmonton Mall. Further development is
likely as the area continues to grow.",Nakota Isga,Jasper Place
GOLD BAR,6270,Gold Bar,"Gold Bar lies to the City's east, offering easy access to other areas of Edmonton. There are
businesses located within Gold Bar, and additional services can be found at nearby Capilano Mall.
A mature and stable neighbourhood, with a high proportion of residents over 50 years of age, this
area is highlighted by the river valley and ravines, with beautiful views of Goldstick Park and the
Gold Bar ravine.",Métis,Southeast
GOODRIDGE CORNERS,3490,Goodridge Corners,,Anirniq,Northwest
GORMAN,2311,Gorman,,Dene,Northeast
GRANDVIEW HEIGHTS,5210,Grandview Heights,"This area was owned by the McCauley family in the 1880s, and the name is likely a reference to
its spectacular views of the river valley. Built largely in the 1960s, the area is characterised by a
variety of ""executive"" style homes on wide, curving streets, surrounded by attractive landscaping
on spacious lots. While 30 percent of households have children, the majority of the residents are older 50 and have lived in the area for many years.",papastew,Scona
GRANVILLE,4551,Granville,,sipiwiyiniwak,West Henday
GRAYDON HILL,5468,Graydon Hill,,Ipiihkoohkanipiaohtsi,Southwest
GREENFIELD,5220,Greenfield,"This area was named for Herbert Greenfield, leader of the United Farmers Party and Premier of Alberta from 1921 to 1925. Greenfield boomed just after World War II, and features larger
Single-family homes on attractive crescents and cul-de-sacs, as well as centrally located schools
and recreational facilities. Efficient roads and public transit service connect Greenfield to major
retail areas, including Southgate and Heritage shopping centres.",papastew,Whitemud
GREENVIEW,6280,Greenview,"One of the 27 Mill Woods neighbourhoods -- and highlighted by some of the area's most attractive
homes -- Greenview's development dates mostly to the 1970s and 80s. It lies close to the Mill
Woods Golf Course and Mill Woods Town Centre, and features a multiple-purpose school and
recreational area. Most households have children, and over 80 percent of area residents are younger than 40.",Karhiio,Mill Woods and Meadows
GRIESBACH,3111,Griesbach,"In the 2000's Griesbach began redeveloping as a non-military residential community, as it is no longer part of the Canadian national defense facility.  Griesbach takes its name from Major General William Antrobus Griesbach who was a veteran of the Boer War and WW I, as well as a practicing lawyer and Edmonton's youngest mayor in 1907.",Anirniq,Northwest
GROVENOR,3210,Grovenor,"Lying in the City's west end, parts of Grovenor date back to the 1910s. Most homes are single-family units, though recent years have seen the
development of duplexes and low-rise apartments. Residents have easy access to Westmount
Mall and the downtown area, and the commercial services concentrated along Stony Plain Road, but the main highlight of Grovenor is the spectacular McKinnon Ravine.",Nakota Isga,Jasper Place
HADDOW,5610,Haddow,"The Haddow neighbourhood is named after Albert Walker ¿Bert¿ Haddow, who was Edmonton¿s city engineer for forty years.  Haddow is predominantly a low density residential neighbourhood and single detached units are the most common housing form.  The neighbourhood¿s stormwater management system compliments Haddow¿s open space plan, and a series of strategically located pathways provide connections for pedestrians throughout the neighbourhood.",pihêsiwin,Whitemud
HAGMANN ESTATE INDUSTRIAL,3220,Hagmann Estate Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Anirniq,Northwest
HAIRSINE,2320,Hairsine,"Hairsine was named for the first mayor of the town of Beverly and includes the Victoria Trail,
which once led to the Old Victoria Settlement. Developed in the 1970s and 80s as part of
Clareview, it is dominated by row housing and low-rise apartments. The LIGHT RAPID TRANSIT offers excellent
access to other parts of the City for the area's mostly young adult residents.",Dene,Northeast
HAWIN PARK ESTATE INDUSTRIAL,4190,Hawin Park Estate Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
HAWKS RIDGE,4473,Hawks Ridge,,Nakota Isga,West Henday
HAYS RIDGE AREA,5465,Hays Ridge Area,,Ipiihkoohkanipiaohtsi,Southwest
HAZELDEAN,6290,Hazeldean,"Hazeldean is located on an area identified as the land holding of I. Irvine, W. Ogilvie and C. Anderson by the first river lot and township surveys of the Edmonton Settlement. Hazeldean was annexed to the City of Strathcona in 1907.  In 1912 Edmonton and Strathcona amalgamated.  With Mill Creek Ravine to the east, Hazeldean residents have ready access to the North Saskatchewan River Valley park system.",papastew,Scona
HENDERSON ESTATES,5230,Henderson Estates,"Henderson Estates is named after Thomas Henderson, who was a homesteader in the Riverbend area in the late 19th century.  Henderson Estates bears Henderson¿s name because his homestead was located nearby.  Prior to urban development Henderson Estates was primarily under agricultural cultivation.  The neighbourhood experienced the majority of its development during the 1980s and 1990s.   Henderson Park is located at the center of the neighbourhood, which is also where the community league facility is located.",pihêsiwin,Whitemud
HERITAGE VALLEY AREA,5456,Heritage Valley Area,,Ipiihkoohkanipiaohtsi,Southwest
HERITAGE VALLEY TOWN CENTRE,5464,Heritage Valley Town Centre,,Ipiihkoohkanipiaohtsi,Southwest
HIGH PARK,4200,High Park,"High Park is a smaller neighbourhood laid out in a grid pattern and the lots are of a generous size. Development in the area occurred in the 1950s and 1960s. High Park is dominated by smaller, single-family bungalows -- limited commercial development is concentrated along 111 Avenue. Area residents have good access to Westmount Mall and Mayfield Common and to the northwest industrial district.",Nakota Isga,Jasper Place
HIGH PARK INDUSTRIAL,4210,High Park Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Anirniq,Jasper Place
HIGHLANDS,2330,Highlands,"Highlands, annexed to the city in 1912, was named in a contest offering a 50-dollar prize. In 1911, real estate developers McGrath and Holgate built their mansions on Ada Boulevard (which was named after McGrath's wife). Other large, well-appointed houses were built nearby, where residents enjoy a spectacular view of the North Saskatchewan River Valley. More modest housing is located further from the valley.",Métis,118 Avenue
HILLVIEW,6300,Hillview,"Hillview is located immediately to the north of the Grey Nuns Community Hospital. The neighbourhood is bounded by major roadways while interior streets follow curved and keyhole patterns. A number of strategically placed walkways through Hillview make for convenient walking or cycling from place to place. The neighbourhood focus of Hillview is its two elementary schools and park sites. The existing residential development is a mix of one unit dwellings, row housing and walk-up apartments.",Karhiio,Mill Woods and Meadows
HODGSON,5620,Hodgson,"The Hodgson neighbourhood was named after John Hodgson (1888-1969) who was the city comptroller and financial commissioner for the City of Edmonton for nearly 40 years.  Whitemud Creek Ravine forms the eastern boarder of the neighbourhood, providing residents with access to one of Edmonton¿s significant natural areas.  A large park is located at the centre of the neighbourhood, and smaller parks and natural areas are connected with pedestrian pathways. A commercial centre is located in the southwest corner of the neighbourhood.",pihêsiwin,Whitemud
HOLLICK-KENYON,2340,Hollick-Kenyon,"The neighbourhood was named after Herbert ""Bertie"" Hollick-Kenyon, who piloted flights over the Antarctic as part of the first mapping of that territory.  Residential construction in the neighbourhood began in the early 1990s.  A school/pack site is located in the middle of the neighbourhood with developed fields and a new school.  A storm water lake located in the south-west and pipeline corridor provides residents with access to open space along with a series of pathways providing pedestrian connections between residential and parks areas.",Dene,Northeast
HOLYROOD,6310,Holyrood,"Holyrood has many of the design features found in neighbourhoods developed during the 1950s: tree-lined interior streets are arranged in a modified grid pattern and incorporate several landscaped street islands. A small commercial plaza is located in the southeast corner of Holyrood. Bonnie Doon Mall, a regional shopping centre, is just southwest of the neighbourhood. Households composed of two adults, retired individuals and individuals over 50 years of age are strongly represented in Holyrood.",Métis,Southeast
HOMESTEADER,2350,Homesteader,"Named for Anglican minister William Newton, Homesteader features a multi-purpose education and recreation site in the centre of the neighbourhood. A number of strategically placed pathways promote bicycle and pedestrian travel within the neighbourhood.  Homesteader residents have access to the river valley park system via Kennedale Ravine. Row housing is the most common type of dwelling unit in Homesteader although there are almost as many single unit dwellings.",Dene,Northeast
HORSE HILL NEIGHBOURHOOD 1A,2691,Horse Hill Neighbourhood 1A,Horse Hill Neighbourhood 1A is characterized by its top-of-bank frontage to the North Saskatchewan River Valley and Horsehills Creek ravine.,Dene,Horse Hill
HUDSON,3480,Hudson,"Hudson features low density single-detached homes and some low rise multi-unit buildings.  The neighbourhood features good access to commercial and employment centres within close proximity to the residential areas.  Hudson is named after the Hudson' Bay Compnay (HBC) post, Hudson House.",Anirniq,Northwest
HUFF BREMNER ESTATE INDUSTRIAL,3230,Huff Bremner Estate Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Anirniq,Jasper Place
IDYLWYLDE,6320,Idylwylde,"Idylwylde is bounded by four major roadways, which serve to keep the area's centre quiet.
Composed primarily of single-family homes, Idylwylde also contains several apartment buildings, a high
school and commercial businesses. Residents, the majority of whom are
retired or older than 50, enjoy easy access to the many retail services at nearby Bonnie
Doon Mall.",Métis,Southeast
INDUSTRIAL HEIGHTS,2360,Industrial Heights,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Métis,Northeast
INGLEWOOD,3240,Inglewood,"The name Inglewood was used on a 1905 plan of subdivision and is now applied to the neighbourhood.  Inglewood's growth started after World War II and was originally called West Inglewood and located on land owned, in 1882, by J. Norris Sr. and R. Logan.  Inglewood was annexed in two stages in 1904 and 1920.  Development was spurred on by the extension of the electric street car as a low density residential development.  They used the Westmount community Hall from 1910 - 1950 before building their own hall.",Anirniq,Central
JACKSON HEIGHTS,6330,Jackson Heights,"Jackson Heights is named in honour of Annie B. Jackson, first policewomen in Canada. Appointed to the Edmonton Police Department in 1912, she received world-wide acclaim when her photograph as a Policewoman appeared on the front page of the London Daily Mirror on August 8, 1913.  By 1971, a development plan had been prepared by the City of Edmonton.  Jackson Heights is a triangular shaped neighbourhood with part of the Mill Creek Ravine crossing through the southern portion of the neighbourhood.  Almost all of the roads are named after someone significant in the history of Edmonton.",Sspomitapi,Mill Woods and Meadows
JAMIESON PLACE,4220,Jamieson Place,"Annexed in 1972 as part of West Jasper Place, this area is named for Colonel F.C. Jamieson, an
early Edmonton resident. A fairly new neighbourhood, only about 40 percent of the land area has
been developed. It is dominated by single family dwellings, and roughly half the households have
children.",sipiwiyiniwak,West Edmonton
JASPER PARK,4230,Jasper Park,"Once part of the Town of Jasper Place (which was annexed by the City in 1964) Jasper Park was
developed in the 1950s and 60s. Its pattern of large lots on a grid system is typical of the neighbourhood design of the period. 
Jasper Park is now a mature suburban area with well-developed schools and parks. Residents
enjoy easy access to Meadowlark Park Shopping Centre and West
Edmonton Mall.",sipiwiyiniwak,Jasper Place
KAMEYOSEK,6340,Kameyosek,"Kameyosek, which means ""the beautiful"" in Cree, lies near the heart of the Mill
Woods area. A mix of single-family and multi-unit dwellings clustered around the central school
site, the area is served by a small commercial plaza, the Mill Woods campus of Grant
MacEwan College and two high schools. Nearly 75 percent of the population is younger than 40.",Karhiio,Mill Woods and Meadows
KEHEEWIN,5250,Keheewin,"One of the City's newest neighbourhoods, development in Keheewin began in the 1990s.  Keheewin -- Cree for ""eagle"" -- lies in the City's south end. The area is characterised by a mix of residential
and commercial uses. Though not yet fully developed, Keheewin has an elementary
school to serve the high number of young children living here and Heritage Mall is
close by.",Ipiihkoohkanipiaohtsi,Whitemud
KENILWORTH,6350,Kenilworth,"Kenilworth lies in the City's southeast, immediately north of the vibrant Whyte
Avenue. Most homes - a mix of single and multi unit
dwellings -- were built in the 1960s. Bounded by major traffic routes, residents have easy road access to major shopping and commercial areas.
and employment centres. Kenilworth is a stable community with a high proportion of residents older than 40.",Métis,Southeast
KENNEDALE INDUSTRIAL,2380,Kennedale Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Dene,Northeast
KENSINGTON,3250,Kensington,"Kensington was annexed to the City in 1913 during a real estate boom but most development didn't occur until the 1950s. Bounded by major roadways (which minimize local traffic), Kensington is
dominated by single-family home. The area has a high proportion of
residents older than 50, most of whom have lived here for many years.",Anirniq,Northwest
KERNOHAN,2390,Kernohan,"Named for an early pioneer farmer who operated a grocery store here in the 1880s and 90s,
Kernohan was not annexed until 1961. Part of Clareview, it saw the bulk of its development take
place during the 1960s oil-driven economic boom. Kernohan is bounded by Kennedale Ravine
and the river valley, both popular features with the area's high proportion of young families.",Dene,Northeast
KESWICK,5574,Keswick,,pihêsiwin,Southwest
KILDARE,2400,Kildare,"Kildare, in the City's northeast, is named for an Irish county. The area has a fairly even mix of
residential and commercial/institutional land uses, and is dominated by Londonderry Mall and St.
Michael's Cemetery. Kildare has a stable population, with a high proportion of young families, as
well as a significant number of seniors served by an extended care facility in the area.",tastawiyiniwak,Northeast
KILKENNY,2410,Kilkenny,"Kilkenny lies to the City's far north, snuggled up against farms and forest. Dominated by
Single-family homes, Kilkenny also features low-rise apartment buildings and row housing. The
neighbourhood enjoys five schools and a sports/recreation complex popular with the many school age children living in the area.",tastawiyiniwak,Northeast
KILLARNEY,2420,Killarney,"Part of the City since 1913, much of this neighbourhood was developed in the 1960s. The area,
which features over 80 businesses, has a high proportion of residents between 50 and 69 years old. A subdivision and elementary school in the area are named MeeYah Noh, derived from the
Cree, meaning ""a good place to be"".",tastawiyiniwak,Northwest
KING EDWARD PARK,6360,King Edward Park,"King Edward Park was farmed as early as the 1870s and annexed in 1912 but most development didn't occur until the 1950s. The area is characterised by single-family homes on quiet streets and a
stable population. King Edward Park features excellent access to the popular path systems of the
river valley and to the vibrant commercial and cultural centre of Whyte Avenue.",Métis,Southeast
KINGLET GARDENS,4477,Kinglet Gardens,,Nakota Isga,West Henday
KINISKI GARDENS,6370,Kiniski Gardens,"Kiniski Gardens was named in honour of Polish-born Julia Kiniski (1899-1969), a dedicated local politician elected in 1963. She only the third women elected to council.  Over the course of her ten unsuccessful bids at public office Kiniski became known as ""Big Julie"" and her election was said to have reinvigorated the public's interest in City Council.  By 1971, a development plan had been prepared for the triangular shaped Neighbourhood by the City of Edmonton.  In the late 1910s the southern portion of Kiniski Gardens formed part of the Edmonton Market Gardens.",Sspomitapi,Mill Woods and Meadows
KINOKAMAU PLAINS AREA,4475,Kinokamau Plains Area,,Nakota Isga,Jasper Place
KIRKNESS,2430,Kirkness,"Located in the Clareview district, this area is named for James Kirkness, a Hudson's Bay
Company employee who came here from Scotland in 1866. A local park is named for James A.
Christianson (1889-1953), a prominent citizen who sponsored the Oil Kings hockey club. 
Dominated by single-family homes, Kirkness has a young population. Kirkness is well served by the Light Rapid Transit.",Dene,Northeast
KLARVATTEN,2440,Klarvatten,"Klarvatten is Swedish for ""clear water"".  The neighbourhood began to first experience residential construction in the late 1980s, but over 50% of residential construction took place in the 2000s.  One of the major features of the neighbourhood is a large storm water lake and wetland-Poplar lake located in the east-central part. The storm water lake provides residents with access to an attractive outdoor amenity and provides some recreation space within the community.  The neighbourhood also features several parts, connected via pedestrian pathways.",tastawiyiniwak,Northwest
LA PERLE,4240,La Perle,"Located in west Edmonton, just south of Stony Plain Road, La Perle is named for an early
resident whose family operated a general store here in the early part of the last century. The
neighbourhood is an even mix of single- and multi-unit dwellings, and features several large parks, a shopping centre and easy access to the many commercial and entertainment services
at nearby West Edmonton Mall.",Nakota Isga,West Edmonton
LAGO LINDO,2450,Lago Lindo,"Named to reflect Edmonton's ethnic diversity, Lago Lindo is Spanish for""pretty lake"", and contains two
lakes named for communities in Spain. Educational and recreational facilities lie in the heart of the
district, and attractive pathways promote pedestrian and bicycle travel throughout Lago Lindo. 
This is a stable, primarily residential area developed in the 1980s, with more than two thirds of
households containing children.",tastawiyiniwak,Northwest
LAMBTON INDUSTRIAL,6380,Lambton Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Métis,Southeast
LANSDOWNE,5260,Lansdowne,"Residents of Lansdowne enjoy a quiet pastoral atmosphere and the opportunity to view the rural, agricultural setting of the University of Alberta Farm from the bicycle path through the eastern portion of the farm. Whitemud Creek Ravine offers a natural woodland habitat, a skiing and recreational facility and access to river valley park trails. Most housing in Lansdowne consists of ""executive"" style single unit homes on above average size lots. The focus of the neighbourhood is a multiple purpose educational and recreational site.",papastew,Scona
LARKSPUR,6390,Larkspur,"Larkspur was named after an ornamental wildflower plant that blooms in many colours. All neighbourhoods in the Meadows area are named after plants and flowers. A pipeline corridor runs the north to south length of the neighbourhood, which has been transformed into a linear park through Larkspur.  The Larkspur neighbourhood structure plan (NSP), was originally adopted by City Council in 1987.  The neighbourhood began developing in the late 1980s, and was still actively under construction in the 2000s.",Sspomitapi,Mill Woods and Meadows
LAUDERDALE,3260,Lauderdale,"James Lauder farmed and owned land near the neighbourhood before the turn of the 20th century. Developed in the late 1950s and early 1960s, Lauderdale still has a large proportion of recreation and vacant property. Over half the homes are single-detached houses. Residents enjoy the Grand Trunk Recreational Centre in the neighbourhood's northwest corner.",Anirniq,Northwest
LAUREL,6444,Laurel,,Sspomitapi,Mill Woods and Meadows
